;o;d;t;n
2096;35.0;147.0;1.0;3.0
2097;35.0;149.0;1.0;3.0
2098;35.0;151.0;1.0;3.0
2099;35.0;153.0;1.0;3.0
2100;35.0;155.0;1.0;3.0
2101;35.0;158.0;1.0;3.0
2102;35.0;161.0;1.0;3.0
2103;35.0;163.0;1.0;3.0
2104;35.0;164.0;1.0;3.0
2105;35.0;165.0;1.0;3.0
2106;35.0;171.0;1.0;4.0
2107;35.0;172.0;1.0;4.0
2108;35.0;173.0;1.0;4.0
2109;35.0;174.0;1.0;4.0
2110;35.0;175.0;1.0;4.0
2111;35.0;176.0;1.0;4.0
2112;35.0;183.0;1.0;4.0
2113;35.0;184.0;1.0;4.0
2114;35.0;186.0;1.0;4.0
2115;35.0;187.0;1.0;4.0
2116;35.0;189.0;1.0;4.0
2117;35.0;190.0;1.0;4.0
2118;35.0;192.0;1.0;4.0
2119;35.0;194.0;1.0;4.0
2120;35.0;197.0;1.0;4.0
2121;35.0;202.0;1.0;4.0
2122;35.0;203.0;1.0;4.0
2123;35.0;204.0;1.0;4.0
2124;35.0;205.0;1.0;4.0
2125;35.0;206.0;1.0;4.0
2126;35.0;211.0;1.0;5.0
2127;35.0;212.0;1.0;5.0
2128;35.0;214.0;1.0;5.0
2129;35.0;215.0;1.0;5.0
2130;35.0;216.0;1.0;5.0
2131;35.0;217.0;1.0;5.0
2132;35.0;219.0;1.0;5.0
2133;35.0;224.0;1.0;5.0
2134;35.0;225.0;1.0;5.0
2135;35.0;228.0;1.0;5.0
2136;35.0;229.0;1.0;5.0
2137;35.0;231.0;1.0;5.0
2138;35.0;232.0;1.0;5.0
2139;35.0;234.0;1.0;5.0
2140;35.0;236.0;1.0;5.0
2141;35.0;240.0;1.0;5.0
2142;35.0;246.0;1.0;5.0
2143;35.0;250.0;1.0;6.0
2144;35.0;251.0;1.0;6.0
2145;35.0;252.0;1.0;6.0
2146;35.0;253.0;1.0;6.0
2147;35.0;254.0;1.0;6.0
2148;35.0;255.0;1.0;6.0
2149;35.0;264.0;1.0;6.0
2150;35.0;266.0;1.0;6.0
2151;35.0;267.0;1.0;6.0
2152;35.0;268.0;1.0;6.0
2153;35.0;270.0;1.0;6.0
2154;35.0;271.0;1.0;6.0
2155;35.0;277.0;1.0;6.0
2156;35.0;278.0;1.0;6.0
2157;35.0;281.0;1.0;6.0
2158;35.0;283.0;1.0;6.0
2159;35.0;284.0;1.0;6.0
2160;35.0;286.0;1.0;6.0
2161;36.0;44.0;1.0;1.0
2162;37.0;43.0;0.0;1.0
2163;37.0;83.0;0.0;2.0
2164;37.0;126.0;0.0;3.0
2165;37.0;210.0;0.0;5.0
2166;37.0;249.0;0.0;6.0
2167;38.0;45.0;1.0;1.0
2168;38.0;46.0;1.0;1.0
2169;38.0;47.0;1.0;1.0
2170;38.0;48.0;1.0;1.0
2171;38.0;49.0;1.0;1.0
2172;38.0;50.0;1.0;1.0
2173;38.0;58.0;1.0;1.0
2174;38.0;59.0;1.0;1.0
2175;38.0;60.0;1.0;1.0
2176;38.0;61.0;1.0;1.0
2177;38.0;62.0;1.0;1.0
2178;38.0;63.0;1.0;1.0
2179;38.0;65.0;1.0;1.0
2180;38.0;71.0;1.0;1.0
2181;38.0;74.0;1.0;1.0
2182;38.0;76.0;1.0;1.0
2183;38.0;78.0;1.0;1.0
2184;38.0;85.0;1.0;2.0
2185;38.0;87.0;1.0;2.0
2186;38.0;88.0;1.0;2.0
2187;38.0;89.0;1.0;2.0
2188;38.0;90.0;1.0;2.0
2189;38.0;92.0;1.0;2.0
2190;38.0;93.0;1.0;2.0
2191;38.0;97.0;1.0;2.0
2192;38.0;99.0;1.0;2.0
2193;38.0;101.0;1.0;2.0
2194;38.0;103.0;1.0;2.0
2195;38.0;105.0;1.0;2.0
2196;38.0;106.0;1.0;2.0
2197;38.0;109.0;1.0;2.0
2198;38.0;116.0;1.0;2.0
2199;38.0;117.0;1.0;2.0
2200;38.0;118.0;1.0;2.0
2201;38.0;119.0;1.0;2.0
2202;38.0;129.0;1.0;3.0
2203;38.0;130.0;1.0;3.0
2204;38.0;131.0;1.0;3.0
2205;38.0;132.0;1.0;3.0
2206;38.0;133.0;1.0;3.0
2207;38.0;135.0;1.0;3.0
2208;38.0;140.0;1.0;3.0
2209;38.0;141.0;1.0;3.0
2210;38.0;143.0;1.0;3.0
2211;38.0;147.0;1.0;3.0
2212;38.0;149.0;1.0;3.0
2213;38.0;151.0;1.0;3.0
2214;38.0;153.0;1.0;3.0
2215;38.0;155.0;1.0;3.0
2216;38.0;158.0;1.0;3.0
2217;38.0;161.0;1.0;3.0
2218;38.0;163.0;1.0;3.0
2219;38.0;164.0;1.0;3.0
2220;38.0;165.0;1.0;3.0
2221;38.0;171.0;1.0;4.0
2222;38.0;172.0;1.0;4.0
2223;38.0;173.0;1.0;4.0
2224;38.0;174.0;1.0;4.0
2225;38.0;175.0;1.0;4.0
2226;38.0;176.0;1.0;4.0
2227;38.0;183.0;1.0;4.0
2228;38.0;184.0;1.0;4.0
2229;38.0;186.0;1.0;4.0
2230;38.0;187.0;1.0;4.0
2231;38.0;189.0;1.0;4.0
2232;38.0;190.0;1.0;4.0
2233;38.0;192.0;1.0;4.0
2234;38.0;194.0;1.0;4.0
2235;38.0;197.0;1.0;4.0
2236;38.0;202.0;1.0;4.0
2237;38.0;203.0;1.0;4.0
2238;38.0;204.0;1.0;4.0
2239;38.0;205.0;1.0;4.0
2240;38.0;206.0;1.0;4.0
2241;38.0;211.0;1.0;5.0
2242;38.0;212.0;1.0;5.0
2243;38.0;214.0;1.0;5.0
2244;38.0;215.0;1.0;5.0
2245;38.0;216.0;1.0;5.0
2246;38.0;217.0;1.0;5.0
2247;38.0;219.0;1.0;5.0
2248;38.0;224.0;1.0;5.0
2249;38.0;225.0;1.0;5.0
2250;38.0;228.0;1.0;5.0
2251;38.0;229.0;1.0;5.0
2252;38.0;231.0;1.0;5.0
2253;38.0;232.0;1.0;5.0
2254;38.0;234.0;1.0;5.0
2255;38.0;236.0;1.0;5.0
2256;38.0;240.0;1.0;5.0
2257;38.0;246.0;1.0;5.0
2258;38.0;250.0;1.0;6.0
2259;38.0;251.0;1.0;6.0
2260;38.0;252.0;1.0;6.0
2261;38.0;253.0;1.0;6.0
2262;38.0;254.0;1.0;6.0
2263;38.0;255.0;1.0;6.0
2264;38.0;264.0;1.0;6.0
2265;38.0;266.0;1.0;6.0
2266;38.0;267.0;1.0;6.0
2267;38.0;268.0;1.0;6.0
2268;38.0;270.0;1.0;6.0
2269;38.0;271.0;1.0;6.0
2270;38.0;277.0;1.0;6.0
2271;38.0;278.0;1.0;6.0
2272;38.0;281.0;1.0;6.0
2273;38.0;283.0;1.0;6.0
2274;38.0;284.0;1.0;6.0
2275;38.0;286.0;1.0;6.0
2276;39.0;42.0;0.0;1.0
2277;39.0;72.0;0.0;1.0
2278;39.0;81.0;0.0;2.0
2279;39.0;113.0;0.0;2.0
2280;39.0;123.0;0.0;3.0
2281;39.0;156.0;0.0;3.0
2282;39.0;167.0;0.0;4.0
2283;39.0;198.0;0.0;4.0
2284;39.0;209.0;0.0;5.0
2285;40.0;41.0;0.0;1.0
2286;40.0;54.0;0.0;1.0
2287;40.0;80.0;0.0;2.0
2288;40.0;95.0;0.0;2.0
2289;40.0;122.0;0.0;3.0
2290;40.0;137.0;0.0;3.0
2291;40.0;166.0;0.0;4.0
2292;40.0;180.0;0.0;4.0
2293;40.0;208.0;0.0;5.0
2294;40.0;222.0;0.0;5.0
2295;41.0;48.0;0.0;0.0
2296;41.0;49.0;0.0;0.0
2297;41.0;50.0;0.0;0.0
2298;41.0;58.0;0.0;0.0
2299;41.0;59.0;0.0;0.0
2300;41.0;60.0;0.0;0.0
2301;41.0;61.0;0.0;0.0
2302;41.0;62.0;0.0;0.0
2303;41.0;63.0;0.0;0.0
2304;41.0;65.0;0.0;0.0
2305;41.0;71.0;0.0;0.0
2306;41.0;74.0;0.0;0.0
2307;41.0;76.0;0.0;0.0
2308;41.0;78.0;0.0;0.0
2309;41.0;85.0;1.0;1.0
2310;41.0;87.0;1.0;1.0
2311;41.0;88.0;1.0;1.0
2312;41.0;89.0;1.0;1.0
2313;41.0;90.0;1.0;1.0
2314;41.0;92.0;1.0;1.0
2315;41.0;93.0;1.0;1.0
2316;41.0;97.0;1.0;1.0
2317;41.0;99.0;1.0;1.0
2318;41.0;101.0;1.0;1.0
2319;41.0;103.0;1.0;1.0
2320;41.0;105.0;1.0;1.0
2321;41.0;106.0;1.0;1.0
2322;41.0;109.0;1.0;1.0
2323;41.0;116.0;1.0;1.0
2324;41.0;117.0;1.0;1.0
2325;41.0;118.0;1.0;1.0
2326;41.0;119.0;1.0;1.0
2327;41.0;129.0;1.0;2.0
2328;41.0;130.0;1.0;2.0
2329;41.0;131.0;1.0;2.0
2330;41.0;132.0;1.0;2.0
2331;41.0;133.0;1.0;2.0
2332;41.0;135.0;1.0;2.0
2333;41.0;140.0;1.0;2.0
2334;41.0;141.0;1.0;2.0
2335;41.0;143.0;1.0;2.0
2336;41.0;147.0;1.0;2.0
2337;41.0;149.0;1.0;2.0
2338;41.0;151.0;1.0;2.0
2339;41.0;153.0;1.0;2.0
2340;41.0;155.0;1.0;2.0
2341;41.0;158.0;1.0;2.0
2342;41.0;161.0;1.0;2.0
2343;41.0;163.0;1.0;2.0
2344;41.0;164.0;1.0;2.0
2345;41.0;165.0;1.0;2.0
2346;41.0;171.0;1.0;3.0
2347;41.0;172.0;1.0;3.0
2348;41.0;173.0;1.0;3.0
2349;41.0;174.0;1.0;3.0
2350;41.0;175.0;1.0;3.0
2351;41.0;176.0;1.0;3.0
2352;41.0;183.0;1.0;3.0
2353;41.0;184.0;1.0;3.0
2354;41.0;186.0;1.0;3.0
2355;41.0;187.0;1.0;3.0
2356;41.0;189.0;1.0;3.0
2357;41.0;190.0;1.0;3.0
2358;41.0;192.0;1.0;3.0
2359;41.0;194.0;1.0;3.0
2360;41.0;197.0;1.0;3.0
2361;41.0;202.0;1.0;3.0
2362;41.0;203.0;1.0;3.0
2363;41.0;204.0;1.0;3.0
2364;41.0;205.0;1.0;3.0
2365;41.0;206.0;1.0;3.0
2366;41.0;211.0;1.0;4.0
2367;41.0;212.0;1.0;4.0
2368;41.0;214.0;1.0;4.0
2369;41.0;215.0;1.0;4.0
2370;41.0;216.0;1.0;4.0
2371;41.0;217.0;1.0;4.0
2372;41.0;219.0;1.0;4.0
2373;41.0;224.0;1.0;4.0
2374;41.0;225.0;1.0;4.0
2375;41.0;228.0;1.0;4.0
2376;41.0;229.0;1.0;4.0
2377;41.0;231.0;1.0;4.0
2378;41.0;232.0;1.0;4.0
2379;41.0;234.0;1.0;4.0
2380;41.0;236.0;1.0;4.0
2381;41.0;240.0;1.0;4.0
2382;41.0;246.0;1.0;4.0
2383;41.0;250.0;1.0;5.0
2384;41.0;251.0;1.0;5.0
2385;41.0;252.0;1.0;5.0
2386;41.0;253.0;1.0;5.0
2387;41.0;254.0;1.0;5.0
2388;41.0;255.0;1.0;5.0
2389;41.0;264.0;1.0;5.0
2390;41.0;266.0;1.0;5.0
2391;41.0;267.0;1.0;5.0
2392;41.0;268.0;1.0;5.0
2393;41.0;270.0;1.0;5.0
2394;41.0;271.0;1.0;5.0
2395;41.0;277.0;1.0;5.0
2396;41.0;278.0;1.0;5.0
2397;41.0;281.0;1.0;5.0
2398;41.0;283.0;1.0;5.0
2399;41.0;284.0;1.0;5.0
2400;41.0;286.0;1.0;5.0
2401;42.0;49.0;0.0;0.0
2402;42.0;50.0;0.0;0.0
2403;42.0;58.0;0.0;0.0
2404;42.0;59.0;0.0;0.0
2405;42.0;60.0;0.0;0.0
2406;42.0;61.0;0.0;0.0
2407;42.0;62.0;0.0;0.0
2408;42.0;63.0;0.0;0.0
2409;42.0;65.0;0.0;0.0
2410;42.0;71.0;0.0;0.0
2411;42.0;74.0;0.0;0.0
2412;42.0;76.0;0.0;0.0
2413;42.0;78.0;0.0;0.0
2414;42.0;85.0;1.0;1.0
2415;42.0;87.0;1.0;1.0
2416;42.0;88.0;1.0;1.0
2417;42.0;89.0;1.0;1.0
2418;42.0;90.0;1.0;1.0
2419;42.0;92.0;1.0;1.0
2420;42.0;93.0;1.0;1.0
2421;42.0;97.0;1.0;1.0
2422;42.0;99.0;1.0;1.0
2423;42.0;101.0;1.0;1.0
2424;42.0;103.0;1.0;1.0
2425;42.0;105.0;1.0;1.0
2426;42.0;106.0;1.0;1.0
2427;42.0;109.0;1.0;1.0
2428;42.0;116.0;1.0;1.0
2429;42.0;117.0;1.0;1.0
2430;42.0;118.0;1.0;1.0
2431;42.0;119.0;1.0;1.0
2432;42.0;129.0;1.0;2.0
2433;42.0;130.0;1.0;2.0
2434;42.0;131.0;1.0;2.0
2435;42.0;132.0;1.0;2.0
2436;42.0;133.0;1.0;2.0
2437;42.0;135.0;1.0;2.0
2438;42.0;140.0;1.0;2.0
2439;42.0;141.0;1.0;2.0
2440;42.0;143.0;1.0;2.0
2441;42.0;147.0;1.0;2.0
2442;42.0;149.0;1.0;2.0
2443;42.0;151.0;1.0;2.0
2444;42.0;153.0;1.0;2.0
2445;42.0;155.0;1.0;2.0
2446;42.0;158.0;1.0;2.0
2447;42.0;161.0;1.0;2.0
2448;42.0;163.0;1.0;2.0
2449;42.0;164.0;1.0;2.0
2450;42.0;165.0;1.0;2.0
2451;42.0;171.0;1.0;3.0
2452;42.0;172.0;1.0;3.0
2453;42.0;173.0;1.0;3.0
2454;42.0;174.0;1.0;3.0
2455;42.0;175.0;1.0;3.0
2456;42.0;176.0;1.0;3.0
2457;42.0;183.0;1.0;3.0
2458;42.0;184.0;1.0;3.0
2459;42.0;186.0;1.0;3.0
2460;42.0;187.0;1.0;3.0
2461;42.0;189.0;1.0;3.0
2462;42.0;190.0;1.0;3.0
2463;42.0;192.0;1.0;3.0
2464;42.0;194.0;1.0;3.0
2465;42.0;197.0;1.0;3.0
2466;42.0;202.0;1.0;3.0
2467;42.0;203.0;1.0;3.0
2468;42.0;204.0;1.0;3.0
2469;42.0;205.0;1.0;3.0
2470;42.0;206.0;1.0;3.0
2471;42.0;211.0;1.0;4.0
2472;42.0;212.0;1.0;4.0
2473;42.0;214.0;1.0;4.0
2474;42.0;215.0;1.0;4.0
2475;42.0;216.0;1.0;4.0
2476;42.0;217.0;1.0;4.0
2477;42.0;219.0;1.0;4.0
2478;42.0;224.0;1.0;4.0
2479;42.0;225.0;1.0;4.0
2480;42.0;228.0;1.0;4.0
2481;42.0;229.0;1.0;4.0
2482;42.0;231.0;1.0;4.0
2483;42.0;232.0;1.0;4.0
2484;42.0;234.0;1.0;4.0
2485;42.0;236.0;1.0;4.0
2486;42.0;240.0;1.0;4.0
2487;42.0;246.0;1.0;4.0
2488;42.0;250.0;1.0;5.0
2489;42.0;251.0;1.0;5.0
2490;42.0;252.0;1.0;5.0
2491;42.0;253.0;1.0;5.0
2492;42.0;254.0;1.0;5.0
2493;42.0;255.0;1.0;5.0
2494;42.0;264.0;1.0;5.0
2495;42.0;266.0;1.0;5.0
2496;42.0;267.0;1.0;5.0
2497;42.0;268.0;1.0;5.0
2498;42.0;270.0;1.0;5.0
2499;42.0;271.0;1.0;5.0
2500;42.0;277.0;1.0;5.0
2501;42.0;278.0;1.0;5.0
2502;42.0;281.0;1.0;5.0
2503;42.0;283.0;1.0;5.0
2504;42.0;284.0;1.0;5.0
2505;42.0;286.0;1.0;5.0
2506;43.0;50.0;0.0;0.0
2507;43.0;58.0;0.0;0.0
2508;43.0;59.0;0.0;0.0
2509;43.0;60.0;0.0;0.0
2510;43.0;61.0;0.0;0.0
2511;43.0;62.0;0.0;0.0
2512;43.0;63.0;0.0;0.0
2513;43.0;65.0;0.0;0.0
2514;43.0;71.0;0.0;0.0
2515;43.0;74.0;0.0;0.0
2516;43.0;76.0;0.0;0.0
2517;43.0;78.0;0.0;0.0
2518;43.0;85.0;1.0;1.0
2519;43.0;87.0;1.0;1.0
2520;43.0;88.0;1.0;1.0
2521;43.0;89.0;1.0;1.0
2522;43.0;90.0;1.0;1.0
2523;43.0;92.0;1.0;1.0
2524;43.0;93.0;1.0;1.0
2525;43.0;97.0;1.0;1.0
2526;43.0;99.0;1.0;1.0
2527;43.0;101.0;1.0;1.0
2528;43.0;103.0;1.0;1.0
2529;43.0;105.0;1.0;1.0
2530;43.0;106.0;1.0;1.0
2531;43.0;109.0;1.0;1.0
2532;43.0;116.0;1.0;1.0
2533;43.0;117.0;1.0;1.0
2534;43.0;118.0;1.0;1.0
2535;43.0;119.0;1.0;1.0
2536;43.0;129.0;1.0;2.0
2537;43.0;130.0;1.0;2.0
2538;43.0;131.0;1.0;2.0
2539;43.0;132.0;1.0;2.0
2540;43.0;133.0;1.0;2.0
2541;43.0;135.0;1.0;2.0
2542;43.0;140.0;1.0;2.0
2543;43.0;141.0;1.0;2.0
2544;43.0;143.0;1.0;2.0
2545;43.0;147.0;1.0;2.0
2546;43.0;149.0;1.0;2.0
2547;43.0;151.0;1.0;2.0
2548;43.0;153.0;1.0;2.0
2549;43.0;155.0;1.0;2.0
2550;43.0;158.0;1.0;2.0
2551;43.0;161.0;1.0;2.0
2552;43.0;163.0;1.0;2.0
2553;43.0;164.0;1.0;2.0
2554;43.0;165.0;1.0;2.0
2555;43.0;171.0;1.0;3.0
2556;43.0;172.0;1.0;3.0
2557;43.0;173.0;1.0;3.0
2558;43.0;174.0;1.0;3.0
2559;43.0;175.0;1.0;3.0
2560;43.0;176.0;1.0;3.0
2561;43.0;183.0;1.0;3.0
2562;43.0;184.0;1.0;3.0
2563;43.0;186.0;1.0;3.0
2564;43.0;187.0;1.0;3.0
2565;43.0;189.0;1.0;3.0
2566;43.0;190.0;1.0;3.0
2567;43.0;192.0;1.0;3.0
2568;43.0;194.0;1.0;3.0
2569;43.0;197.0;1.0;3.0
2570;43.0;202.0;1.0;3.0
2571;43.0;203.0;1.0;3.0
2572;43.0;204.0;1.0;3.0
2573;43.0;205.0;1.0;3.0
2574;43.0;206.0;1.0;3.0
2575;43.0;211.0;1.0;4.0
2576;43.0;212.0;1.0;4.0
2577;43.0;214.0;1.0;4.0
2578;43.0;215.0;1.0;4.0
2579;43.0;216.0;1.0;4.0
2580;43.0;217.0;1.0;4.0
2581;43.0;219.0;1.0;4.0
2582;43.0;224.0;1.0;4.0
2583;43.0;225.0;1.0;4.0
2584;43.0;228.0;1.0;4.0
2585;43.0;229.0;1.0;4.0
2586;43.0;231.0;1.0;4.0
2587;43.0;232.0;1.0;4.0
2588;43.0;234.0;1.0;4.0
2589;43.0;236.0;1.0;4.0
2590;43.0;240.0;1.0;4.0
2591;43.0;246.0;1.0;4.0
2592;43.0;250.0;1.0;5.0
2593;43.0;251.0;1.0;5.0
2594;43.0;252.0;1.0;5.0
2595;43.0;253.0;1.0;5.0
2596;43.0;254.0;1.0;5.0
2597;43.0;255.0;1.0;5.0
2598;43.0;264.0;1.0;5.0
2599;43.0;266.0;1.0;5.0
2600;43.0;267.0;1.0;5.0
2601;43.0;268.0;1.0;5.0
2602;43.0;270.0;1.0;5.0
2603;43.0;271.0;1.0;5.0
2604;43.0;277.0;1.0;5.0
2605;43.0;278.0;1.0;5.0
2606;43.0;281.0;1.0;5.0
2607;43.0;283.0;1.0;5.0
2608;43.0;284.0;1.0;5.0
2609;43.0;286.0;1.0;5.0
2610;44.0;56.0;0.0;0.0
2611;45.0;52.0;0.0;0.0
2612;45.0;178.0;0.0;3.0
2613;46.0;55.0;0.0;0.0
2614;46.0;84.0;0.0;1.0
2615;46.0;159.0;0.0;2.0
2616;46.0;181.0;0.0;3.0
2617;46.0;200.0;0.0;3.0
2618;46.0;242.0;0.0;4.0
2619;46.0;260.0;0.0;5.0
2620;47.0;51.0;0.0;0.0
2621;47.0;243.0;0.0;4.0
2622;48.0;54.0;0.0;0.0
2623;48.0;80.0;0.0;1.0
2624;48.0;95.0;0.0;1.0
2625;48.0;122.0;0.0;2.0
2626;48.0;137.0;0.0;2.0
2627;48.0;166.0;0.0;3.0
2628;48.0;180.0;0.0;3.0
2629;48.0;208.0;0.0;4.0
2630;48.0;222.0;0.0;4.0
2631;49.0;53.0;0.0;0.0
2632;49.0;94.0;0.0;1.0
2633;49.0;111.0;0.0;1.0
2634;49.0;136.0;0.0;2.0
2635;49.0;154.0;0.0;2.0
2636;49.0;179.0;0.0;3.0
2637;49.0;221.0;0.0;4.0
2638;49.0;239.0;0.0;4.0
2639;49.0;273.0;0.0;5.0
2640;49.0;276.0;0.0;5.0
2641;50.0;57.0;0.0;0.0
2642;50.0;115.0;0.0;1.0
2643;50.0;261.0;0.0;5.0
2644;50.0;280.0;0.0;5.0
2645;51.0;58.0;0.0;0.0
2646;51.0;59.0;0.0;0.0
2647;51.0;60.0;0.0;0.0
2648;51.0;61.0;0.0;0.0
2649;51.0;62.0;0.0;0.0
2650;51.0;63.0;0.0;0.0
2651;51.0;65.0;0.0;0.0
2652;51.0;71.0;0.0;0.0
2653;51.0;74.0;0.0;0.0
2654;51.0;76.0;0.0;0.0
2655;51.0;78.0;0.0;0.0
2656;51.0;85.0;1.0;1.0
2657;51.0;87.0;1.0;1.0
2658;51.0;88.0;1.0;1.0
2659;51.0;89.0;1.0;1.0
2660;51.0;90.0;1.0;1.0
2661;51.0;92.0;1.0;1.0
2662;51.0;93.0;1.0;1.0
2663;51.0;97.0;1.0;1.0
2664;51.0;99.0;1.0;1.0
2665;51.0;101.0;1.0;1.0
2666;51.0;103.0;1.0;1.0
2667;51.0;105.0;1.0;1.0
2668;51.0;106.0;1.0;1.0
2669;51.0;109.0;1.0;1.0
2670;51.0;116.0;1.0;1.0
2671;51.0;117.0;1.0;1.0
2672;51.0;118.0;1.0;1.0
2673;51.0;119.0;1.0;1.0
2674;51.0;129.0;1.0;2.0
2675;51.0;130.0;1.0;2.0
2676;51.0;131.0;1.0;2.0
2677;51.0;132.0;1.0;2.0
2678;51.0;133.0;1.0;2.0
2679;51.0;135.0;1.0;2.0
2680;51.0;140.0;1.0;2.0
2681;51.0;141.0;1.0;2.0
2682;51.0;143.0;1.0;2.0
2683;51.0;147.0;1.0;2.0
2684;51.0;149.0;1.0;2.0
2685;51.0;151.0;1.0;2.0
2686;51.0;153.0;1.0;2.0
2687;51.0;155.0;1.0;2.0
2688;51.0;158.0;1.0;2.0
2689;51.0;161.0;1.0;2.0
2690;51.0;163.0;1.0;2.0
2691;51.0;164.0;1.0;2.0
2692;51.0;165.0;1.0;2.0
2693;51.0;171.0;1.0;3.0
2694;51.0;172.0;1.0;3.0
2695;51.0;173.0;1.0;3.0
2696;51.0;174.0;1.0;3.0
2697;51.0;175.0;1.0;3.0
2698;51.0;176.0;1.0;3.0
2699;51.0;183.0;1.0;3.0
2700;51.0;184.0;1.0;3.0
2701;51.0;186.0;1.0;3.0
2702;51.0;187.0;1.0;3.0
2703;51.0;189.0;1.0;3.0
2704;51.0;190.0;1.0;3.0
2705;51.0;192.0;1.0;3.0
2706;51.0;194.0;1.0;3.0
2707;51.0;197.0;1.0;3.0
2708;51.0;202.0;1.0;3.0
2709;51.0;203.0;1.0;3.0
2710;51.0;204.0;1.0;3.0
2711;51.0;205.0;1.0;3.0
2712;51.0;206.0;1.0;3.0
2713;51.0;211.0;1.0;4.0
2714;51.0;212.0;1.0;4.0
2715;51.0;214.0;1.0;4.0
2716;51.0;215.0;1.0;4.0
2717;51.0;216.0;1.0;4.0
2718;51.0;217.0;1.0;4.0
2719;51.0;219.0;1.0;4.0
2720;51.0;224.0;1.0;4.0
2721;51.0;225.0;1.0;4.0
2722;51.0;228.0;1.0;4.0
2723;51.0;229.0;1.0;4.0
2724;51.0;231.0;1.0;4.0
2725;51.0;232.0;1.0;4.0
2726;51.0;234.0;1.0;4.0
2727;51.0;236.0;1.0;4.0
2728;51.0;240.0;1.0;4.0
2729;51.0;246.0;1.0;4.0
2730;51.0;250.0;1.0;5.0
2731;51.0;251.0;1.0;5.0
2732;51.0;252.0;1.0;5.0
2733;51.0;253.0;1.0;5.0
2734;51.0;254.0;1.0;5.0
2735;51.0;255.0;1.0;5.0
2736;51.0;264.0;1.0;5.0
2737;51.0;266.0;1.0;5.0
2738;51.0;267.0;1.0;5.0
2739;51.0;268.0;1.0;5.0
2740;51.0;270.0;1.0;5.0
2741;51.0;271.0;1.0;5.0
2742;51.0;277.0;1.0;5.0
2743;51.0;278.0;1.0;5.0
2744;51.0;281.0;1.0;5.0
2745;51.0;283.0;1.0;5.0
2746;51.0;284.0;1.0;5.0
2747;51.0;286.0;1.0;5.0
2748;52.0;60.0;0.0;0.0
2749;52.0;61.0;0.0;0.0
2750;52.0;62.0;0.0;0.0
2751;52.0;63.0;0.0;0.0
2752;52.0;65.0;0.0;0.0
2753;52.0;71.0;0.0;0.0
2754;52.0;74.0;0.0;0.0
2755;52.0;76.0;0.0;0.0
2756;52.0;78.0;0.0;0.0
2757;52.0;85.0;1.0;1.0
2758;52.0;87.0;1.0;1.0
2759;52.0;88.0;1.0;1.0
2760;52.0;89.0;1.0;1.0
2761;52.0;90.0;1.0;1.0
2762;52.0;92.0;1.0;1.0
2763;52.0;93.0;1.0;1.0
2764;52.0;97.0;1.0;1.0
2765;52.0;99.0;1.0;1.0
2766;52.0;101.0;1.0;1.0
2767;52.0;103.0;1.0;1.0
2768;52.0;105.0;1.0;1.0
2769;52.0;106.0;1.0;1.0
2770;52.0;109.0;1.0;1.0
2771;52.0;116.0;1.0;1.0
2772;52.0;117.0;1.0;1.0
2773;52.0;118.0;1.0;1.0
2774;52.0;119.0;1.0;1.0
2775;52.0;129.0;1.0;2.0
2776;52.0;130.0;1.0;2.0
2777;52.0;131.0;1.0;2.0
2778;52.0;132.0;1.0;2.0
2779;52.0;133.0;1.0;2.0
2780;52.0;135.0;1.0;2.0
2781;52.0;140.0;1.0;2.0
2782;52.0;141.0;1.0;2.0
2783;52.0;143.0;1.0;2.0
2784;52.0;147.0;1.0;2.0
2785;52.0;149.0;1.0;2.0
2786;52.0;151.0;1.0;2.0
2787;52.0;153.0;1.0;2.0
2788;52.0;155.0;1.0;2.0
2789;52.0;158.0;1.0;2.0
2790;52.0;161.0;1.0;2.0
2791;52.0;163.0;1.0;2.0
2792;52.0;164.0;1.0;2.0
2793;52.0;165.0;1.0;2.0
2794;52.0;171.0;1.0;3.0
2795;52.0;172.0;1.0;3.0
2796;52.0;173.0;1.0;3.0
2797;52.0;174.0;1.0;3.0
2798;52.0;175.0;1.0;3.0
2799;52.0;176.0;1.0;3.0
2800;52.0;183.0;1.0;3.0
2801;52.0;184.0;1.0;3.0
2802;52.0;186.0;1.0;3.0
2803;52.0;187.0;1.0;3.0
2804;52.0;189.0;1.0;3.0
2805;52.0;190.0;1.0;3.0
2806;52.0;192.0;1.0;3.0
2807;52.0;194.0;1.0;3.0
2808;52.0;197.0;1.0;3.0
2809;52.0;202.0;1.0;3.0
2810;52.0;203.0;1.0;3.0
2811;52.0;204.0;1.0;3.0
2812;52.0;205.0;1.0;3.0
2813;52.0;206.0;1.0;3.0
2814;52.0;211.0;1.0;4.0
2815;52.0;212.0;1.0;4.0
2816;52.0;214.0;1.0;4.0
2817;52.0;215.0;1.0;4.0
2818;52.0;216.0;1.0;4.0
2819;52.0;217.0;1.0;4.0
2820;52.0;219.0;1.0;4.0
2821;52.0;224.0;1.0;4.0
2822;52.0;225.0;1.0;4.0
2823;52.0;228.0;1.0;4.0
2824;52.0;229.0;1.0;4.0
2825;52.0;231.0;1.0;4.0
2826;52.0;232.0;1.0;4.0
2827;52.0;234.0;1.0;4.0
2828;52.0;236.0;1.0;4.0
2829;52.0;240.0;1.0;4.0
2830;52.0;246.0;1.0;4.0
2831;52.0;250.0;1.0;5.0
